content,up_class
Куйбышевазот  — бриллиант для инвестора в химотрасль. Апсайд  до аналогов в России и в мире.,1
"Куйбышевазот пока ещё торгуется дешевле, чем крупнейшие химгиганты в России  Фосагро  и Акрон .",1
"Куйбышевазот пока ещё торгуется дешевле, чем крупнейшие химгиганты в России  Фосагро  и Акрон .",1
"Куйбышевазот ,  увеличивает мощности, чтобы продолжить свой рост   выручки по «суперудобрению».",1
"Куйбышевазот ,  увеличивает мощности, чтобы продолжить свой рост   выручки по «суперудобрению».",1
"Куйбышевазот ,  — инвестиция в один из самых доходных химических бизнесов в мире, полагает источник РДВ, аналитик хедж-фонда. Россия — самый низкозатратный производитель азотных удобрений в мире.",1
"Куйбышевазот ,  — инвестиция в один из самых доходных химических бизнесов в мире, полагает источник РДВ, аналитик хедж-фонда. Россия — самый низкозатратный производитель азотных удобрений в мире.",1
Апсайд Куйбышевазота до крупнейшего аналога . Источники РДВ поделились сравнением с Фосагро,1
"РДВ всегда впереди брокеров и банков. Прибыль Куйбышевазота ,  может удвоиться, сообщали источники РДВ ещё полгода назад.",1
"РДВ всегда впереди брокеров и банков. Прибыль Куйбышевазота ,  может удвоиться, сообщали источники РДВ ещё полгода назад.",1
"ИСКЧ  гораздо больше, чем стволовые клетки. Компания раскрыла свои основные разработки. На звонке с инвесторами компания показала свой pipeline.   Неоваскулген — ещё показания помимо ишемии.   Две новые вакцины  от гриппа и ВПЧ.   Генетический препарат для костной пластики уже на рынке.   Новые онкогенетические тесты близки к старту продаж.",1
"Мать и Дитя , ЕМС , Медси АФК Системы  в числе тех, кто может получить крупные инвестиции.",0
"Мать и Дитя , ЕМС , Медси АФК Системы  в числе тех, кто может получить крупные инвестиции.",1
"Мать и Дитя , ЕМС , Медси АФК Системы  в числе тех, кто может получить крупные инвестиции.",0
"Публичные девелоперы, в лице ПИКа  и Самолета , уже объявили о выходе на рынок ИЖС. Известно, что Самолет планирует построить пять крупных проектов ИЖС, один из которых будет располагаться в Новой Москве, а его площадь составит тыс. кв. м.",1
"Публичные девелоперы, в лице ПИКа  и Самолета , уже объявили о выходе на рынок ИЖС. Известно, что Самолет планирует построить пять крупных проектов ИЖС, один из которых будет располагаться в Новой Москве, а его площадь составит тыс. кв. м.",1
"Справедливая цена XRetail Group  на растущем рынке в полтора раза выше текущей.  Рынок продуктового ритейла будет расти по в год и достигнет уровня в трлн руб. к году.  Объем офлайн рынка вырастет более чем на трлн, а рынок e-grocery вырастет в раза, до млрд. До года рост составит более , считают аналитики см график.   Хнацелена занять  рынка онлайн и  офлайн ритейла к году. Компании eCommerce по мультипликаторам оцениваются выше обычных ритейлеров. Это дает справедливую стоимость Хравную рублей за акцию.   Справедливая стоимость акций XRetail Group FIVE рублей, потенциал роста .",1
XRetail Group   растущий бизнес с растущими дивидендами. Хразвивает новые направления бизнеса и  продолжает платить одни из самых высоких дивидендов в российском ритейле.  Компания вернет в виде дивидендов более  капитализации за следующие года. Средняя дивдоходность составит  годовых.,0
"Лукойл  - один из самых эффективных нефтяников в России.  Компания добивается этого за счет    Качественной структуры добычи  Высокой доли нефти, направляемой на переработку  Доступа к премиальным рынка и каналам сбыта.  Лукойл может дать одни из самых высоких дивидендов в нефтегазовом секторе РФ. Промежуточные дивиденды за полгода могут составить рублей, за весь год — дивиденд может быть выше рублей, что дает свыше  доходности, сообщает источник РДВ. Это возможно при сохранении цен на нефть в коридоре $65-$за баррель и продолжении роста добычи согласно сделке ОПЕК+.",1
"02.09.   Один из крупнейших ипотечных банков будет выдавать кредиты без первоначального взноса.  Рост ключевой ставки повысит интерес россиян к банковским депозитам. Но не за счет инвестиций в фондовый рынок, уверены эксперты.  Инвестиции в основной капитал в России выросли на  в первом полугодии.    Московская биржа   объемы торгов за август",0
"Нефтяной сектор  Buy. Цены на нефть практически полностью отыграли свое недавнее поведение после сообщений о распространении дельта-штамма. Сегодня ценам оказывает поддержку вчерашняя публикация данных о запасах от API и сохранение рекомендаций ОПЕК+ по увеличению добычи. Сильнее всех от роста цен и объемов добычи выигрывает Лукойл , подсчитали источники РДВ.",1
"IT & Telecom  Hold. На рынке телекомов продолжаются структурные преобразования операторов, которые выделяют части своих бизнесов в отдельные компании. Ранее это уже сделал Ростелеком , выделив РТК-ЦОД, сейчас это делает еще и МТС , выделяя цифровой и облачный бизнес, а также башенную инфраструктуру в отдельные компании.",0
"IT & Telecom  Hold. На рынке телекомов продолжаются структурные преобразования операторов, которые выделяют части своих бизнесов в отдельные компании. Ранее это уже сделал Ростелеком , выделив РТК-ЦОД, сейчас это делает еще и МТС , выделяя цифровой и облачный бизнес, а также башенную инфраструктуру в отдельные компании.",0
"Удобрения  Buy. Сегодня вышла отчетность по МСФО Куйбышев Азота , топ пика источников РДВ в секторе минеральных удобрений. Компания показала рост выручки на  г/г, а чистой прибыли в раз. Текущая оценка компании составляет P/E 2021, что дает потенциал роста более чем в раза до оценок аналогов.",1
"Самолет  может поучаствовать в масштабном проекте освоения московских территорий на трлн руб. При этом уже до конца года планируется заключить соглашения на млрд руб.  Одним из участников проекта является Интеко, которая может быть куплена Самолетом. Компания стала победителем торгов на строительство тыс. кв. м недвижимости в Москве.",1
"Бетувакс — история большого апсайда и минимального риска для ИСКЧ .  Источник РДВ, аналитик сектора здравоохранения, оценил вклад вакцины в стоимость акций ИСКЧ в различных сценариях   Позитивный сценарий выглядит достижимым. От сезонного гриппа в России по данным Роспотребнадзора ежегодно вакцинируются порядка 50млн человек. Разумно предположить, что значительная часть этих людей будет ежегодно вакцинироваться от COVIDв случае его сезонности. В случае стабильной вакцинации млн человек в год Бетуваксом акции ИСКЧ могут стоить в раза дороже.  Негативный сценарий менее вероятен и может иметь слабое влияние на котировки ИСКЧ см. график. Бетувакс обладает сильными конкурентными преимуществами   безопасность важна для  россиян,  эффективность при ревакцинации,  адаптация к новым штаммам.",1
Этический комитет Минздрава одобрил заявку ИСКЧ  на исследование вакцины от коронавируса  Окончательное решение о начале исследования должен принять Минздрав.,1
РДВ всегда впереди брокеров и банков. Вчера Камаз  достиг своей фундаментальной цены в руб.  Источники РДВ сообщали о потенциале роста акций Камаз в ноябре прошлого года. С тех пор акции выросли на .,0
"Через лет Мать и Дитя  может стать мощным генератором кэша для акционеров — освободится много средств под дивиденды.  1⃣ Компания своими силами может завершить цикл капитальных вложений. На них компания закладывает млрд/год. EBITDA Мать и Дитя уже выше млрд в год и продолжит рост, считает источник РДВ.  2⃣ Маржинальность EBITDA может вырасти  — Мать и Дитя формирует центр компетенций в Московском регионе.  3⃣ Мать и Дитя планирует погасить большую часть долгов.   На горизонте лет Мать и Дитя трансформируется в прибыльную компанию с высокой маржинальностью, низким долгом и капзатратами — весь зарабатываемый кэш потенциально может быть выплачен акционерам.",0
"Мать и Дитя  одна из самых быстрорастущих компаний в России      За предыдущие лет  Мать и Дитя выросла по выручке и EBITDA в раза. Компания завоёвывала рынок высококлассных родовых услуг.  За следующие лет  Мать и Дитя планирует вырасти по выручке еще в раза, по EBITDA — в 4. Теперь компания завоевывает рынок онкологических и психиатрических услуг  в ближайшие 2года запустит радиологический и психиатрический корпуса.",1
"Лукойл  может вернуться к докоронакризисному уровню добычи с сохранением производственных мощностей - Bloomberg  У компании достаточно свободных мощностей для восстановления добычи. Если Лукойл задействует все резервные мощности, его добыча составит млн баррелей в сутки. Это соответствует среднему уровню добычи первого квартала года.  Ранее члены ОПЕК+ договорились увеличивать добычу на баррелей в сутки каждый месяц с августа. Доля РФ в ежемесячном приросте составляет около баррелей в сутки. Лукойл восстановила 2/объема добычи после сокращения в мае года. При этом компания планирует и дальше быстро восстанавливать объем добычи, заявил первый вице-президент Александр Матыцын.  Восстановление добычи — более важный фактор для наших нефтяников, нежели высокие цены на нефть. Более быстрое восстановление позволит Лукойлу продемонстрировать рекордные результаты по итогу года.",1
У акций Лукойла  самый большой потенциал роста среди российских нефтяников по мультипликатору EV/EBITDA года.   Апсайд до других нефтяников  см. фото.,1
"Лукойл  больше других нефтяников даёт заработать на высоких ценах на нефть.  Ограничения по добыче из-за ОПЕК+ не помешают выплатить высокие дивиденды  ~ по итогам года. На прошлой неделе Лукойл отчитался за полугодие года. Промежуточные дивиденды за полгода могут составить рублей. По итогам всего года выплата может составить рублей — самая высокая дивдоходность в нефтяной отрасли в РФ.  Компания не забывает об инвесторах. Несмотря на потери из-за отсутствия льгот по сверхвязкой нефти, Лукойл продолжает направлять на дивиденды  FCF.",1
"XRetail Group   справедливая стоимость рублей, апсайд .  Рыночная цена акций стремится к их фундаментальной цене",1
Цифровые бизнесы XRetail Group  растут быстрее рынка   Рост онлайн-бизнеса Xв первом полугодии года составил  г/г.  Рынок продовольственного сегмента e-commerce e-grocery рынок в России за этот же период вырос на .   Xпродолжит захватывать растущий рынок. Доля Xна e-grocery рынке составляет . Компания планирует нарастить её до  году. Сам рынок за это время вырастет в раза и составит более млрд руб. — прогнозы Infoline.,1
"Банки и инвест-фонды борются за право поучаствовать в росте e-com сегмента XRetail Group . Это позволит продать долю по высокой цене.   До  к капитализации X5. Так оцениваются возможные инвестиции Сбера в онлайн-бизнес X5. К сервисам доставки ритейлера проявлял интерес и AliExpress Россия.  Онлайн-бизнес не учтен в стоимости акций, следует из закрытой аналитики инвестбанкиров. Новость может стать катализатором для раскрытия неучтенной стоимости онлайн-бизнеса.  IPO e-com сегмента Xв 2022году источник РДВ считает одним из возможных вариантов монетизации бизнеса.",1
"Яндекс  разводится с Uber  какой вывод для инвесторов?  Спойлер  сдержанный позитив, сделка уже закладывается в цену акций Яндекса, оценил источник РДВ. Яндекс планировал провести сделку ещё в июне прошлого года.  Что Яндекс получит за $млрд?   в сервисах Яндекс.Еда, Яндекс.Лавка и Яндекс.Доставка — его доля будет доведена до .   в беспилотных авто - его доля также будет доведена до .   в такси и каршеринге и право на выкуп оставшейся доли Uber в  за $1.8млрд.   Источник РДВ оценил эти подразделения в $9.млрд, а текущая доля Яндекса в них $7.млрд —  от капитализации.  Яндекс увеличит выгоду от развития. Чем больше доля Яндекса в поздразделениях, тем больше он получает от их роста.  В будущем эта сделка может упростить выход этих сегментов на IPO, считает источник.",1
В онлайн-бизнес X могут инвестировать структуры Сбера .,0
В онлайн-бизнес X могут инвестировать структуры Сбера .,0
"Яндекс  выкупает  долей Uber в Яндекс.Еде, Яндекс.Лавке и Яндекс.Доставке и  в структуре беспилотных авто. Сумма сделки составляет $млрд.",0
Алроса  готовится к возобновлению работ на руднике Мир после аварии в году.,0
"Мать и Дитя  инвестирует в рост и платит дивиденды из собственных средств. Компания может инвестировать до млрд руб./ год на развитие, гасить долг и платить дивиденды ~в ближайшие пару лет.",1
"В отличие от ЕМС  с высокой дивдоходностью, Мать и Дитя фокусируется на росте.",1
"Мать и Дитя  раскроет финансовые результаты сентября и организует звонок с инвесторами. Компания объявит о дивидендах, выплата которых намечена также на сентябрь.",0
"Что позволит Мать и Дитя  удвоить свою выручку за 3лет?  В ближайшие 2года возрастёт загруженность клиник. Текущие клиники загружены на ~, загрузка может вырасти до нормальных . Это может произойти благодаря росту онкологического направления.   Мать и Дитя инвестирует млрд руб. в новые клиники   Клиника лучевой терапии Лапинооткроется в году. Запуск доведет онкологическое направление компании до международного уровня;   Клиника для лечения инфекционных заболеваний. Первая клиника компании в СПб, открытие планируется в конце года. Если у роженицы обнаружат ковид, то найти роддом становится сложнее. Клиники Мать и Дитя остаются чуть ли не единственной возможностью;   Психиатрический корпус Лапино-5;   еще две клиники в Москве и области.",1
"Мать и Дитя   справедливая стоимость повышена до руб., апсайд .  Рыночная цена акций стремится к их фундаментальной цене",1
Бизнес Мать и Дитя  может удвоиться за 3лет. Компания озвучила цель удвоения выручки во время конференции.  На базе текущих активов и запуске новых клиник Мать и дитя в ближайшие 3лет может довести выручку до млрд руб. — рост в два раза по сравнению с годом.  Мать и дитя входит в число самых быстрорастущих по выручке компаний в РФ,1
"МТС  через месяц готов выкупить акции у всех желающих по руб — защита акций от падения.  МТС выделяет башенную инфраструктуру в отдельную компанию Tower Infrastructure Company.  Ранее  МТС выделяет цифровой и облачный бизнес в отдельную компанию. В дальнейшем, компания может привлечь стратегическего партнера или провести IPO     Недовольные могут продать акции по цене, близкой к рыночной. Если владельцы акций проголосовали против или воздержались от голосования по вопросам реорганизации, то им предоставляется право продать по цене руб. за акцию.",0
"Русолово   справедливая стоимость руб., апсайд .  Рыночная цена акций стремится к их фундаментальной цене",1
Финансовая отчетность Русолово  по МСФО за полугодие Выручка млрд руб. годом ранее млрд Чистая прибыль млрд руб. годом ранее убыток млрд,0
Самолет  увеличивает объемы текущего строительства. Компания увеличила долю рынка в раза за два года.,1
"Конкуренты Самолета отстают. Среди публичных девелоперов за аналогичный период только Эталон  смог увеличить долю на , показатели ПИК  и ЛСР  снизились   и  соответственно.",1
"Конкуренты Самолета отстают. Среди публичных девелоперов за аналогичный период только Эталон  смог увеличить долю на , показатели ПИК  и ЛСР  снизились   и  соответственно.",1
"Конкуренты Самолета отстают. Среди публичных девелоперов за аналогичный период только Эталон  смог увеличить долю на , показатели ПИК  и ЛСР  снизились   и  соответственно.",1
Сегодня Самолет  отчитался за первое полугодие года.   Выручка выросла до млрд руб.  г/г;  Скорр. EBITDA за первое полугодие составила млрд руб.  г/г;  Чистая прибыль увеличилась до млрд руб.  г/г.  Рост финансовых результатов Самолета подтверждает возможность кратного роста в ближайшие 2года.,1
"Новый обзор от экспертов RDV PREMIUM   Бетувакс   затрат обеспечивают  результата. Как устроена вакцина ИСКЧ  и почему она может стать бенефициаром сезонности COVID-19?  Коронавирус, вероятно, останется сезонным вирусом, как грипп. Это создаст спрос на безопасные эффективные вакцины. Бетувакс может стать единственным препаратом в России, который его удовлетворит.  Эксперты клуба разобрались в том, как она устроена и почему обладает сильными конкурентными преимуществами",1
"ИСКЧ  опубликовала отчетность за полугодие  Сервисные бизнесы компании выросли после COVID-19.  Выручка бенефициара мировых генетических трендов Genetico выросла на ,  Рост выручки крупнейшего в России донорского банка спермы и яйцеклеток Репробанк составил .  Выручка от продаж Неоваскулгена выросла на .  Основные вопросы для акционеров сейчас   Как обстоят дела с выходом Неоваскулгена на рынок Москвы и СПб?  Когда стоит ожидать выход Неоваскулгена на рынок США?  Как проходят испытания по расширению показаний Неоваскулгена для СДС? Когда рассчитывают получить результаты?  В силе ли планы начать испытания вакцины в начале сентября?  Их можно будет задать сентября на звонке с компанией в 00.",1
Звонок Газпрома  с инвесторами по МСФО за 2кв2021.,1
Самолет   МСФО 1п2021,1
Финансовая отчетность Газпрома  по МСФО за квартал  Выручка трлн руб прогноз трлн руб EBITDA млрд руб прогноз млрд Чистая прибыль млрд руб прогноз млрд,1
"Самолет  и ПИК  продолжили увеличивать продажи в квадратных метрах,",1
"Самолет  и ПИК  продолжили увеличивать продажи в квадратных метрах,",1
"Эталон  сохранил прошлогодний уровень,",0
Показатели ЛСР  оказались ниже на .,0
Сегодня ИСКЧ  должен представить отчетность по МСФО за 1пгода. Звонок с инвесторами пройдёт в сентябре. На нем будут представлены планы и перспективы компании.,1
1⃣ Премиальная медицина ЕМС,1
Дочки АФК Системы,0
"Рост финансовых показателей застройщиков, в совокупности с ростом натуральных продаж, говорит о развитии сектора, полагает источник РДВ, аналитик сектора девелопмента.   Сегодня ПИК  раскрыл отчетность по МСФО за первое полугодие г. По сравнению с первым полугодием года компания смогла увеличить выручку на , EBITDA — более чем в раза, а чистую прибыль почти в раза.  Источники РДВ делают ставку на рост девелоперов по итогам года.",1
"Цены на газ в Европе обновили очередной рекорд. Стоимость октябрьского фьючерса побила отметку в $за одну тысячу кубометров, свидетельствуют данные биржи ICE Futures.  Цены на газ в Европе, а с ними и прибыль Газпрома , продолжают расти. Мозговой Центр Сигналов считает, что дивидендная доходность акций Газпрома может быть более  - компания может направить руб на акцию по итогам года.  Газпром - основной бенефициар роста цен на газ, доля Европы в выручке газового сегмента компании составляет .",1
"Газпром   справедливая стоимость руб., апсайд .  Рыночная цена акций стремится к их фундаментальной цене",1
"Сегодня Газпром  представит долгожданные результаты за квартал года. Бурный рост цен на газ в Европе может помочь компании превзойти консенсус аналитиков, подтверждает источник РДВ.   Выручка может превысить трлн рублей —  г/г, сообщает источник.  Для расчета дивидендов используется скорректированная чистая прибыль, она может составить млрд руб. За полугодие дивиденд может составить руб на акцию —  дивдоходности по текущей цене.  Макросреда продолжает играть на руку Газпрому. За счет низкой заполненности газовых хранилищ в Европе, а также рекордных цен на газ по итогам года Газпром может заплатить самые высокие дивиденды за всю историю компании —  дивидендной доходности.",1
"Активы АФК Системы  лидируют по росту выручки во кваратале 2021г — презентация компании.   МТС — бенифициар роста потребления телеком услуг, в т.ч. за счет развития экосистемы.  Сегежа выигрывает от роста в среднем на  кв/кв цен на древесину, пиломатериалы и бумажную упаковку — основные продукты компании.  Сеть клиник Медси фиксирует высокий спрос на медицинские услуги из-за коронавируса. Количество посещений пациентов выросло на  г/г, а загрузка амбулатории на .  Агрохолдинг Степь выигрывает от роста цен на сельхозпродукцию и наращивания объема ее экспорта. Например, цены на пшеницу выросли на  г/г, молока .",1
Отчетности основных активов АФК Системы  положительно отразились и на самой компании — результаты за квартал года.,0
"Благодаря МТС, , Сегеже и др.",0
ИСКЧ   МСФО 2кв2021,1
Газпром   МСФО 2кв2021г,1
Аэрофлот   МСФО 2кв2021,0
АФК Система   МСФО 2кв2021,0
Группа ЛСР   натуральные показатели 2кв2021,0
"ПИК   МСФО 2кв2021,",1
QIWI  теряет треть бизнеса. Источники РДВ сообщали о переоценённости бизнеса QIWI ещё два года назад.,0
2. Возможная покупка Интеко Самолетом  — шаг по укреплению позиций компании в Москве и России.,1
3. Европейский Медицинский центр  — потенциально новый лидер среди дивидендных акций в РФ.,1
"4. Акции АФК Системы  уже сейчас могут стоить значительно дороже, а в будущем подорожать в 10-ки раз.",0
5. Энел Россия  - возможность поучаствовать в сокращении отставания акций электрогенерирующих компаний от индексов.,0
Европейский медицинский центр ЕМС   СД рекомендовал дивиденды за год евро руб на акцию.   Доходность   Данная рекомендация полностью соответствует ранее озвученным планам Компании о выплате гарантированных дивидендов в размере млн евро в году - компания.  Вторая выплата будет рекомендована Советом директоров в третьем/четвертом квартале года.  Ориентировочная доходность второй части составит  к текущей цене.,1
Глава Роснефти  Игорь Сечин на фоне рекордно высоких цен на газ в Европе попросил президента Владимира Путина разрешить компании экспортировать газ.,1
"Мечел ,   МСФО 2кви 1п2021г,",1
"Мечел ,   МСФО 2кви 1п2021г,",1
"Россети   МСФО 2кв2021,",1
"Интер РАО   МСФО 2кв2021,",1
"ЛУКОЙЛ   МСФО 2кв2021,",0
НЛМК   ВОСА о дивидендах 2кв2021.,0
"Энел Россия  заплатит самые большие дивиденды в секторе генерации электроэнергии за следующие месяца. Деньги от Энел нужны не только частным инвесторам, но и ее головной структуре — итальянской Enel и крупному миноритарию — РФПИ.   Справедливая стоимость акций Enel Россия ENRU рублей, потенциал роста .",1
"Сборник. Вокруг Энел Россия  складываются пока незамеченные благоприятные условия для роста, которые могут повлиять на фундаментальную цену компании, считает источник РДВ.  1⃣ Энел Россия выигрывает от растущих цен на электроэнергию в европейской части России.  2⃣ Энел Россия — потенциально главный бенефициар мировой экологической повестки.  3⃣ Уже в сентябре компания может заполучить щедрые квоты от государства на строительство ветряных электростанций.  4⃣ Энел Россия — пока единственный способ инвестировать в развитие зелёного водорода в России.",0
"Источник РДВ подмечает интересные наблюдения Сигналов  Акции электрогенераторов в РФ отстали от   индекса цен на электроэнергию,  индекса МосБиржи.  На кого стоит обратить внимание? Кто может оказаться в большем выигрыше?   Источник РДВ раскрывает свой топ-пик в электрогенерирующем секторе РФ — Энел Россия .   Вокруг Энел Россия складываются благоприятные условия для роста.  Энел возглавляет топ дивидендных компаний России в следующие месяца по версии источников РДВ.",0
"АФК Система  действительно умеет создавать стоимость для своих акционеров, считает источник РДВ.  Помимо вышеупомянутых вложений Система инвестирует в высокотехнологичные компании на начальной стадии их роста. Этим занимается венчурный фонд Sistema VC с долей АФК Системы . Соинвесторами фонда являются Сбербанк, Tencent, Яндекс, TMT Investments и другие гиганты.   Целевая доходность фонда 25.  В фокусе фонда находятся проекты в сфере Deep Tech    ИИ,  компьютерное зрение,  сетевые технологии нового поколения.  А также развивающиеся ниши в области технологий    образование,  электронная коммерция,  кибербезопасность,  сельское хозяйство,  строительство.  Венчурная составляющая бизнеса АФК Системы недостаточно покрыта — позитивные новости могут значительно повлиять на капитализацию, считает источник РДВ. В венчурном инвестировании доходность сделки за несколько лет может составить 10, и даже больше иксов.",1
"АФК Система  действительно умеет создавать стоимость для своих акционеров, считает источник РДВ.  2⃣ Кейс МТС. АФК Система инвестировала в МТС еще задолго до IPO компании в году в Нью-Йорке.    Только за публичную историю компании доходность АФК Системы составляет более . Безусловно кейс МТС гораздо более продолжительный, чем кейс Детского мира.  Не стоит забывать, что Система продолжает держать контрольный пакет МТС, входящего в топ дивидендных компаний в РФ. Дивдоходность в ближайший год может ставить более .   Стоимость пакета Системы в МТС сейчас около млрд руб., дивиденды за год составят более млрд руб. — годовая выплата дивидендов МТС составит к капитализации АФК Системы .",0
"АФК Система  действительно умеет создавать стоимость для своих акционеров, считает источник РДВ.  1⃣ Кейс Детского мира. Система получала дивиденды, развивала и по итогу монетизировала актив через продажу. АФК Система инвестировала в Детский мир совместно с РФПИ — до IPO Системе принадлежало  компании. При проведении IPO в году капитализация Детского мира составила млрд руб — на момент IPO пакет Системы стоил млрд руб.   АФК Система заработала на Детском мире более млрд руб. Доходность составила более . И это только за публичную историю компании.",0
"АФК Система  действительно умеет создавать стоимость для своих акционеров, считает источник РДВ.  Как это происходит? 1. АФК Система находит привлекательную инвестиционную возможность,  2. Входит в капитал, 3. Наращивает акционерную стоимость, 4. Монетизирует актив, фиксируя прибыль.  Варианты монетизации могут быть совершенно разные — пример тому кейсы Детского мира и МТС.",0
TCS Group   МСФО IIкв2021г.,0
Совкомфлот   МСФО IIкв2021г.,0
Русгидро   МСФО 6M2021г.,0
"Qiwi   за года.   РДВ всегда впереди брокеров и банков, что подтверждает наш с вами популярный ныне читатель - Злой Финансист!  Внимание 18+",1
